Date,OAT,kW
1/3/2016 16:45,53.40000153,258.9
1/3/2016 17:00,53.10000038,262.8
1/3/2016 17:15,52.79999924,256.2
1/3/2016 17:30,52.65000153,258.9
1/3/2016 17:45,52.60000229,260.7
1/3/2016 18:00,51.85000038,268.8
1/3/2016 18:15,51.60000229,262.2
1/3/2016 18:30,51.15000153,259.8
1/3/2016 18:45,50.79999924,265.2
1/3/2016 19:00,50.65000153,265.2
1/3/2016 19:15,50.5,267.6
1/3/2016 19:30,50.15000153,265.8
1/3/2016 19:45,50.20000076,265.2
1/3/2016 20:00,50.20000076,268.2
1/3/2016 20:15,50.5,273.3
1/3/2016 20:30,50.35000229,264.6
1/3/2016 20:45,50.10000229,264
1/3/2016 21:00,49.80000114,254.4
1/3/2016 21:15,49.60000229,258.6
1/3/2016 21:30,49.45000076,257.7
1/3/2016 21:45,49.29999924,253.5
1/3/2016 22:00,49.15000153,254.1
1/3/2016 22:15,48.90000153,266.4
1/3/2016 22:30,48.75,263.7
1/3/2016 22:45,48.29999924,257.4
1/3/2016 23:00,48.64999962,259.5
1/3/2016 23:15,48.40000153,256.8
1/3/2016 23:30,48.89999962,258.6
1/3/2016 23:45,48.79999924,264
1/4/2016 0:00,48.45000076,262.8
1/4/2016 0:15,48.20000076,256.5
1/4/2016 0:30,47.64999962,254.1
1/4/2016 0:45,48.20000076,256.2
1/4/2016 1:00,48.55000114,262.2
1/4/2016 1:15,49,257.7
1/4/2016 1:30,48.55000114,258.9
1/4/2016 1:45,47.70000076,263.4
1/4/2016 2:00,48.15000153,260.1
1/4/2016 2:15,47.40000153,255.9
1/4/2016 2:30,47.95000076,251.1
1/4/2016 2:45,48.10000229,256.5
1/4/2016 3:00,47.79999924,254.1
1/4/2016 3:15,48.40000153,253.2
1/4/2016 3:30,48.20000076,253.2
1/4/2016 3:45,48.10000229,259.2
1/4/2016 4:00,48.05000114,260.7
1/4/2016 4:15,47.70000076,283.8
1/4/2016 4:30,47.45000076,288.3
1/4/2016 4:45,47.10000229,292.2
1/4/2016 5:00,47.29999924,289.8
1/4/2016 5:15,47,335.7
1/4/2016 5:30,47.50000191,346.2
1/4/2016 5:45,47.60000229,355.2
1/4/2016 6:00,47.85000038,358.5
1/4/2016 6:15,47.90000153,363.6
1/4/2016 6:30,47.80000114,374.1
1/4/2016 6:45,48,373.8
1/4/2016 7:00,48.25000191,388.2
1/4/2016 7:15,47.40000153,408.6
1/4/2016 7:30,47.05000114,411.6
1/4/2016 7:45,46.70000076,422.4
1/4/2016 8:00,46.65000153,419.4
1/4/2016 8:15,46.79999924,410.1
1/4/2016 8:30,47.14999962,412.2
1/4/2016 8:45,47.40000153,422.7
1/4/2016 9:00,48.35000038,423.6
1/4/2016 9:15,50.20000076,410.7
1/4/2016 9:30,52.89999962,413.1
1/4/2016 9:45,52.5,408.3
1/4/2016 10:00,54.25,412.2
1/4/2016 10:15,57.10000229,414.6
1/4/2016 10:30,57.80000114,408.6
1/4/2016 10:45,57.60000229,414
1/4/2016 11:00,57.85000038,416.1
1/4/2016 11:15,59.90000153,415.5
